Model,DPO4034
Firmware Version,2.1

Point Format,Y,
Horizontal Units,S,
Horizontal Scale,0.0002,
Sample Interval,2e-07,
Record Length,10000,
Probe Attenuation,10,10
Vertical Units,V,V
Vertical Offset,0,0
Vertical Scale,2,2
Label,,
TIME,CH1,CH2
-6.218e-04,4.82219,5.02094
-6.216e-04,4.82625,5.02125
-6.214e-04,4.82687,5.01719
-6.212e-04,4.81656,5.03344
-6.210e-04,4.83531,5.0225
-6.208e-04,4.83531,5.02625
-6.206e-04,4.83281,5.02125
-6.204e-04,4.82531,5.02313
-6.202e-04,4.83531,5.03094
-6.200e-04,4.8225,5.02719
-6.198e-04,4.83219,5.03156
-6.196e-04,4.82969,5.03
-6.194e-04,4.82625,4.95656
-6.192e-04,4.81937,5.10125
-6.190e-04,4.82875,5.03406
-6.188e-04,4.82469,5.015
-6.186e-04,4.83062,5.03
-6.184e-04,4.82906,5.03688
-6.182e-04,4.82437,5.02094
-6.180e-04,4.83531,5.02813
-6.178e-04,4.81937,5.02625
-6.176e-04,4.83156,5.01594
-6.174e-04,4.83281,5.02094
-6.172e-04,4.81594,5.02
-6.170e-04,4.82969,5.2425
-6.168e-04,4.83281,4.72813
-6.166e-04,4.82969,5.13938
-6.164e-04,4.82531,4.99031
-6.162e-04,4.82219,5.01969
-6.160e-04,4.83,5.02844
-6.158e-04,4.82687,5.01875
-6.156e-04,4.825,5.01375
-6.154e-04,4.82031,5.02937
-6.152e-04,4.83375,5.03594
-6.150e-04,4.82188,5.02813
-6.148e-04,4.83094,5.035
-6.146e-04,4.82844,5.03531
-6.144e-04,4.83344,5.03219
-6.142e-04,4.82625,5.01688
-6.140e-04,4.82906,5.02531
-6.138e-04,4.83531,5.0325
-6.136e-04,4.82938,5.02406
-6.134e-04,4.84,5.02813
-6.132e-04,4.83594,5.01969
-6.130e-04,4.82844,5.02875
-6.128e-04,4.83094,5.02406
-6.126e-04,4.82594,5.02219
-6.124e-04,4.82969,5.01688
-6.122e-04,4.82437,5.0225
-6.120e-04,4.84094,5.02469
-6.118e-04,4.81813,5.04125
-6.116e-04,4.82906,5.03344
-6.114e-04,4.82687,5.02469
-6.112e-04,4.82844,5.02063
-6.110e-04,4.82375,5.02281
-6.108e-04,4.835,5.02063
-6.106e-04,4.84469,5.02531
-6.104e-04,4.82812,5.02469
-6.102e-04,4.83219,5.02438
-6.100e-04,4.8375,5.02813
-6.098e-04,4.82313,5.03156
-6.096e-04,4.81906,5.02844
-6.094e-04,4.82469,4.97469
-6.092e-04,4.82156,5.07906
-6.090e-04,4.82094,5.00844
-6.088e-04,4.8275,5.02656
-6.086e-04,4.82563,5.03813
-6.084e-04,4.8325,5.02719
-6.082e-04,4.82781,5.04594
-6.080e-04,4.84656,5.015
-6.078e-04,4.83125,5.02313
-6.076e-04,4.83531,5.02844
-6.074e-04,4.835,5.03594
-6.072e-04,4.83344,5.03438
-6.070e-04,4.84719,4.94406
-6.068e-04,4.82313,5.15
-6.066e-04,4.83219,5.00406
-6.064e-04,4.8325,5.03063
-6.062e-04,4.83156,5.02375
-6.060e-04,4.83594,5.03563
-6.058e-04,4.83125,5.0225
-6.056e-04,4.8325,5.02781
-6.054e-04,4.83,5.02063
-6.052e-04,4.82875,5.04
-6.050e-04,4.82844,5.02781
-6.048e-04,4.8225,5.02688
-6.046e-04,4.83312,5.02906
-6.044e-04,4.83031,5.03563
-6.042e-04,4.83,5.03
-6.040e-04,4.83563,5.02
-6.038e-04,4.8275,5.02656
-6.036e-04,4.8375,5.02125
-6.034e-04,4.84,5.03281
-6.032e-04,4.82844,5.01781
-6.030e-04,4.83094,5.03219
-6.028e-04,4.84,5.03469
-6.026e-04,4.82031,5.03563
-6.024e-04,4.82469,5.03781
-6.022e-04,4.83,5.03656
-6.020e-04,4.83031,5.03156
-6.018e-04,4.83688,5.03313
-6.016e-04,4.83281,5.04063
-6.014e-04,4.83781,5.04219
-6.012e-04,4.83219,5.03469
-6.010e-04,4.83563,5.025
-6.008e-04,4.84219,5.03688
-6.006e-04,4.82875,5.03219
-6.004e-04,4.82375,5.03188
-6.002e-04,4.82531,5.02281
-6.000e-04,4.82281,5.02719
-5.998e-04,4.82594,5.02094
-5.996e-04,4.82344,4.98656
-5.994e-04,4.82906,5.07938
-5.992e-04,4.82219,5.01875
-5.990e-04,4.83844,5.03219
-5.988e-04,4.8225,5.03031
-5.986e-04,4.82844,5.02219
-5.984e-04,4.83031,5.03688
-5.982e-04,4.83062,5.02656
-5.980e-04,4.82875,5.02906
-5.978e-04,4.815,5.02031
-5.976e-04,4.83031,5.02688
-5.974e-04,4.84219,5.03781
-5.972e-04,4.84563,4.94094
-5.970e-04,4.81531,5.17188
