Model,DPO4034
Firmware Version,2.1

Point Format,Y,
Horizontal Units,S,
Horizontal Scale,0.0002,
Sample Interval,2e-07,
Record Length,10000,
Probe Attenuation,10,10
Vertical Units,V,V
Vertical Offset,0,0
Vertical Scale,2,2
Label,,
TIME,CH1,CH2
-6.218e-04,4.82563,5.02656
-6.216e-04,4.84094,5.33219
-6.214e-04,4.85656,4.65094
-6.212e-04,4.81969,5.10125
-6.210e-04,4.83656,5.00125
-6.208e-04,4.84625,5.03219
-6.206e-04,4.83469,5.01531
-6.204e-04,4.82906,5.01375
-6.202e-04,4.81188,5.02531
-6.200e-04,4.82563,5.01562
-6.198e-04,4.83531,5.01781
-6.196e-04,4.82469,5.02844
-6.194e-04,4.83156,5.02063
-6.192e-04,4.82812,5.03063
-6.190e-04,4.83688,5.02688
-6.188e-04,4.82563,5.01906
-6.186e-04,4.81781,5.02969
-6.184e-04,4.8275,5.02469
-6.182e-04,4.82281,5.01625
-6.180e-04,4.82062,5.02
-6.178e-04,4.82062,5.01969
-6.176e-04,4.82656,5.01344
-6.174e-04,4.82188,5.01219
-6.172e-04,4.83656,5.01969
-6.170e-04,4.81875,5.0225
-6.168e-04,4.82844,5.02937
-6.166e-04,4.83375,5.01531
-6.164e-04,4.83156,4.98094
-6.162e-04,4.82781,4.99594
-6.160e-04,4.82188,5.09344
-6.158e-04,4.83625,5.06531
-6.156e-04,4.82969,4.98031
-6.154e-04,4.81125,4.98188
-6.152e-04,4.82188,5.03656
-6.150e-04,4.82062,5.10313
-6.148e-04,4.83125,4.82
-6.146e-04,4.81094,5.21063
-6.144e-04,4.83688,5.025
-6.142e-04,4.82781,5.02219
-6.140e-04,4.83312,5.03063
-6.138e-04,4.82563,5.02375
-6.136e-04,4.81969,5.02656
-6.134e-04,4.82781,5.01906
-6.132e-04,4.8225,5.02
-6.130e-04,4.81719,5.02969
-6.128e-04,4.82687,5.02937
-6.126e-04,4.83375,5.02313
-6.124e-04,4.84781,5.22719
-6.122e-04,4.81781,4.7725
-6.120e-04,4.82437,5.10781
-6.118e-04,4.83031,5.00688
-6.116e-04,4.82281,5.03375
-6.114e-04,4.83031,5.00781
-6.112e-04,4.83062,5.01531
-6.110e-04,4.81687,5.01438
-6.108e-04,4.83375,5.01719
-6.106e-04,4.83,5.01844
-6.104e-04,4.82406,5.01344
-6.102e-04,4.82344,5.02188
-6.100e-04,4.83469,5.02094
-6.098e-04,4.82875,5.02063
-6.096e-04,4.82844,5.02781
-6.094e-04,4.82031,5.02656
-6.092e-04,4.83719,5.02188
-6.090e-04,4.83125,5.02531
-6.088e-04,4.81781,5.03406
-6.086e-04,4.82812,5.02813
-6.084e-04,4.83062,5.0225
-6.082e-04,4.82938,5.02719
-6.080e-04,4.82531,5.03156
-6.078e-04,4.82906,5.02562
-6.076e-04,4.82594,5.02031
-6.074e-04,4.83469,5.02406
-6.072e-04,4.83094,4.98344
-6.070e-04,4.81719,5.02031
-6.068e-04,4.82625,5.10375
-6.066e-04,4.84281,5.04125
-6.064e-04,4.82719,4.97344
-6.062e-04,4.82469,4.985
-6.060e-04,4.83188,5.05844
-6.058e-04,4.84094,5.085
-6.056e-04,4.82969,4.78094
-6.054e-04,4.81406,5.22938
-6.052e-04,4.83125,5.00781
-6.050e-04,4.83188,5.01375
-6.048e-04,4.82156,5.03375
-6.046e-04,4.82156,5.04312
-6.044e-04,4.81937,5.01844
-6.042e-04,4.83062,5.01
-6.040e-04,4.82812,5.02188
-6.038e-04,4.83375,5.01562
-6.036e-04,4.83594,5.02438
-6.034e-04,4.82969,5.01813
-6.032e-04,4.85187,5.19875
-6.030e-04,4.81406,4.79375
-6.028e-04,4.81781,5.10719
-6.026e-04,4.83344,5.00656
-6.024e-04,4.81906,5.02469
-6.022e-04,4.82062,5.01313
-6.020e-04,4.8225,5.01625
-6.018e-04,4.835,5.02375
-6.016e-04,4.84187,5.03375
-6.014e-04,4.82188,5.02937
-6.012e-04,4.81969,5.01625
-6.010e-04,4.82875,5.02344
-6.008e-04,4.83344,5.02219
-6.006e-04,4.82125,5.02156
-6.004e-04,4.82563,5.02313
-6.002e-04,4.83062,5.02719
-6.000e-04,4.83656,5.01906
-5.998e-04,4.82719,5.01844
-5.996e-04,4.8225,5.01438
-5.994e-04,4.82625,5.02875
-5.992e-04,4.82875,5.01313
-5.990e-04,4.82406,5.02
-5.988e-04,4.82719,5.02719
-5.986e-04,4.83594,5.01562
-5.984e-04,4.8275,5.01031
-5.982e-04,4.82781,5.02344
-5.980e-04,4.82062,4.98156
-5.978e-04,4.81594,5.01906
-5.976e-04,4.84031,5.10375
-5.974e-04,4.83281,5.04031
-5.972e-04,4.83312,4.96969
-5.970e-04,4.83656,4.98062
-5.968e-04,4.82563,5.06219
-5.966e-04,4.8375,5.08531
-5.964e-04,4.81969,4.79781
-5.962e-04,4.825,5.23531
-5.960e-04,4.83,4.99281
-5.958e-04,4.82344,5.02094
-5.956e-04,4.83188,5.01844
-5.954e-04,4.81906,5.02031
-5.952e-04,4.83188,5.01969
-5.950e-04,4.82281,5.0175
-5.948e-04,4.83938,5.02406
-5.946e-04,4.82469,5.0225
-5.944e-04,4.82406,5.02375
-5.942e-04,4.82156,5.02094
-5.940e-04,4.86875,5.04594
-5.938e-04,4.82469,4.98125
