Model,DPO4034
Firmware Version,2.1

Point Format,Y,
Horizontal Units,S,
Horizontal Scale,0.0002,
Sample Interval,2e-07,
Record Length,10000,
Probe Attenuation,10,10
Vertical Units,V,V
Vertical Offset,0,0
Vertical Scale,2,2
Label,,
TIME,CH1,CH2
-6.220e-04,4.80813,4.94094
-6.218e-04,4.8025,4.93
-6.216e-04,4.79156,4.91812
-6.214e-04,4.79219,5.13313
-6.212e-04,4.79875,4.97969
-6.210e-04,4.79438,4.99
-6.208e-04,4.7975,4.99531
-6.206e-04,4.79781,4.99938
-6.204e-04,4.79656,4.98938
-6.202e-04,4.79875,4.99563
-6.200e-04,4.80219,4.995
-6.198e-04,4.79969,4.9975
-6.196e-04,4.78594,4.99906
-6.194e-04,4.79375,4.99531
-6.192e-04,4.80094,4.99375
-6.190e-04,4.81219,5.24313
-6.188e-04,4.81312,4.72625
-6.186e-04,4.7775,5.01156
-6.184e-04,4.81031,5.01031
-6.182e-04,4.81188,4.98406
-6.180e-04,4.80813,4.98531
-6.178e-04,4.81469,4.98656
-6.176e-04,4.79438,4.99188
-6.174e-04,4.79375,4.99
-6.172e-04,4.7975,4.99188
-6.170e-04,4.79438,4.99188
-6.168e-04,4.79906,4.99094
-6.166e-04,4.79656,4.99219
-6.164e-04,4.80031,4.99188
-6.162e-04,4.80656,5.00375
-6.160e-04,4.80094,4.99437
-6.158e-04,4.78656,4.99531
-6.156e-04,4.78656,4.99437
-6.154e-04,4.79219,5
-6.152e-04,4.80344,4.99406
-6.150e-04,4.8,4.98656
-6.148e-04,4.79562,4.98375
-6.146e-04,4.78719,4.99281
-6.144e-04,4.8,4.99281
-6.142e-04,4.80625,5.00094
-6.140e-04,4.79375,4.99594
-6.138e-04,4.79312,4.99563
-6.136e-04,4.79469,4.99688
-6.134e-04,4.79594,4.95844
-6.132e-04,4.78844,4.96094
-6.130e-04,4.79219,5.06469
-6.128e-04,4.80906,5.04281
-6.126e-04,4.79719,4.93531
-6.124e-04,4.78937,4.94094
-6.122e-04,4.79406,4.95344
-6.120e-04,4.80312,5.11188
-6.118e-04,4.80187,4.96063
-6.116e-04,4.79125,4.99812
-6.114e-04,4.81656,4.98938
-6.112e-04,4.80375,4.98469
-6.110e-04,4.80125,4.98781
-6.108e-04,4.79625,4.99156
-6.106e-04,4.81125,4.98813
-6.104e-04,4.80063,4.99625
-6.102e-04,4.80844,4.99531
-6.100e-04,4.79688,4.98281
-6.098e-04,4.78906,4.99313
-6.096e-04,4.825,5.19688
-6.094e-04,4.79937,4.74188
-6.092e-04,4.78562,5.02562
-6.090e-04,4.7975,4.98406
-6.088e-04,4.795,4.97469
-6.086e-04,4.80125,4.98
-6.084e-04,4.7975,4.99188
-6.082e-04,4.80594,4.99469
-6.080e-04,4.81406,4.99344
-6.078e-04,4.81,4.98281
-6.076e-04,4.81406,4.99531
-6.074e-04,4.79844,4.99437
-6.072e-04,4.80063,4.98781
-6.070e-04,4.80125,4.99812
-6.068e-04,4.80844,5.00156
-6.066e-04,4.79781,5.00875
-6.064e-04,4.80375,4.99906
-6.062e-04,4.80125,4.99688
-6.060e-04,4.80063,4.99281
-6.058e-04,4.80594,4.99688
-6.056e-04,4.80312,4.98781
-6.054e-04,4.79688,4.9975
-6.052e-04,4.7975,4.98188
-6.050e-04,4.78594,4.98563
-6.048e-04,4.80094,4.99781
-6.046e-04,4.79,4.98531
-6.044e-04,4.80187,4.98375
-6.042e-04,4.80281,5
-6.040e-04,4.80625,4.96906
-6.038e-04,4.78656,4.97375
-6.036e-04,4.79219,5.07531
-6.034e-04,4.81656,5.02875
-6.032e-04,4.79906,4.94344
-6.030e-04,4.79781,4.94531
-6.028e-04,4.78812,4.98094
-6.026e-04,4.80031,5.07313
-6.024e-04,4.80375,4.94906
-6.022e-04,4.805,5.00219
-6.020e-04,4.8025,4.995
-6.018e-04,4.80125,4.98219
-6.016e-04,4.80125,4.995
-6.014e-04,4.80125,5.00063
-6.012e-04,4.81844,5.00313
-6.010e-04,4.8025,4.99781
-6.008e-04,4.80281,4.99719
-6.006e-04,4.79875,5.00125
-6.004e-04,4.79312,5.00031
-6.002e-04,4.81781,5.15969
-6.000e-04,4.79719,4.79188
-5.998e-04,4.80594,5.04156
-5.996e-04,4.79688,4.98688
-5.994e-04,4.80156,4.99031
-5.992e-04,4.80781,4.99281
-5.990e-04,4.80563,4.98875
-5.988e-04,4.81281,4.98906
-5.986e-04,4.81094,4.9925
-5.984e-04,4.79,4.99
-5.982e-04,4.79781,4.98875
-5.980e-04,4.78719,4.98656
-5.978e-04,4.80813,4.985
-5.976e-04,4.80156,4.99156
-5.974e-04,4.7925,4.98875
-5.972e-04,4.80875,4.99094
-5.970e-04,4.80844,4.99531
-5.968e-04,4.79875,4.98844
-5.966e-04,4.79875,4.98281
-5.964e-04,4.80187,4.98062
-5.962e-04,4.80406,4.98438
-5.960e-04,4.80375,4.98375
-5.958e-04,4.80312,4.98531
-5.956e-04,4.79312,4.98031
-5.954e-04,4.81406,4.98688
-5.952e-04,4.79937,4.99281
-5.950e-04,4.80281,4.99656
-5.948e-04,4.79781,5.00063
-5.946e-04,4.80781,4.95281
-5.944e-04,4.79719,4.96906
-5.942e-04,4.80281,5.07313
-5.940e-04,4.80187,5.00938
-5.938e-04,4.80687,4.92656
-5.936e-04,4.80563,4.92844
-5.934e-04,4.78562,4.99406
-5.932e-04,4.81719,5.05844
-5.930e-04,4.79813,4.96063
-5.928e-04,4.80406,4.98656
-5.926e-04,4.78719,4.99531
-5.924e-04,4.79781,4.98188
-5.922e-04,4.79156,5.00844
-5.920e-04,4.79937,5.00219
-5.918e-04,4.78562,4.99437
-5.916e-04,4.79781,5.00844
-5.914e-04,4.79969,4.9925
-5.912e-04,4.80156,4.99406
-5.910e-04,4.80406,5.00063
-5.908e-04,4.81562,5.18094
-5.906e-04,4.81,4.75594
-5.904e-04,4.79844,5.05344
-5.902e-04,4.79406,4.98688
-5.900e-04,4.79781,4.99469
-5.898e-04,4.79813,4.99125
-5.896e-04,4.79719,4.99344
-5.894e-04,4.81,4.995
-5.892e-04,4.79656,4.99375
-5.890e-04,4.79781,4.99437
-5.888e-04,4.80438,4.985
-5.886e-04,4.79719,4.99844
-5.884e-04,4.79875,4.98719
-5.882e-04,4.79906,4.99563
-5.880e-04,4.80219,5.00188
-5.878e-04,4.80312,4.99875
-5.876e-04,4.7975,4.99188
-5.874e-04,4.80469,4.98875
-5.872e-04,4.80219,5.00188
-5.870e-04,4.80187,4.99469
-5.868e-04,4.80031,4.99812
-5.866e-04,4.80031,4.99594
-5.864e-04,4.80156,4.99375
-5.862e-04,4.7925,4.99281
-5.860e-04,4.80031,4.99094
-5.858e-04,4.79375,4.99281
-5.856e-04,4.8,4.99938
-5.854e-04,4.80625,5.00438
-5.852e-04,4.81,4.97719
-5.850e-04,4.79656,4.95063
-5.848e-04,4.80281,5.05063
-5.846e-04,4.81406,5.04438
-5.844e-04,4.81469,4.945
-5.842e-04,4.805,4.9275
-5.840e-04,4.79875,4.98719
-5.838e-04,4.80406,4.97375
-5.836e-04,4.81656,5.06625
-5.834e-04,4.8175,4.97594
-5.832e-04,4.795,4.97656
-5.830e-04,4.80406,4.99625
-5.828e-04,4.81344,4.98938
-5.826e-04,4.80312,4.98938
-5.824e-04,4.80656,4.99375
-5.822e-04,4.81094,4.99844
-5.820e-04,4.80469,4.98406
-5.818e-04,4.79875,4.97938
-5.816e-04,4.80094,4.98219
-5.814e-04,4.80563,4.995
-5.812e-04,4.82094,5.21719
-5.810e-04,4.79813,4.74812
-5.808e-04,4.78781,5.02281
-5.806e-04,4.79156,4.99688
-5.804e-04,4.80813,4.9825
-5.802e-04,4.80844,4.99188
-5.800e-04,4.79937,4.985
-5.798e-04,4.80031,4.98688
-5.796e-04,4.80563,4.97781
-5.794e-04,4.80281,4.98219
-5.792e-04,4.81,4.98344
-5.790e-04,4.81031,5.00063
-5.788e-04,4.81125,4.97719
-5.786e-04,4.81062,4.98188
-5.784e-04,4.80531,4.98594
-5.782e-04,4.80312,4.98875
-5.780e-04,4.80656,4.99313
-5.778e-04,4.80563,4.995
-5.776e-04,4.80344,5.00375
-5.774e-04,4.80906,4.99188
-5.772e-04,4.80375,4.98969
-5.770e-04,4.79469,4.98875
-5.768e-04,4.80625,4.99
-5.766e-04,4.81344,4.98844
-5.764e-04,4.79969,4.98813
-5.762e-04,4.80219,4.99156
-5.760e-04,4.81312,4.99688
-5.758e-04,4.79719,4.98813
-5.756e-04,4.7975,4.99344
-5.754e-04,4.79813,4.945
-5.752e-04,4.80125,5.00313
-5.750e-04,4.81156,5.07625
-5.748e-04,4.81,4.97969
-5.746e-04,4.80563,4.92125
-5.744e-04,4.80312,4.95813
-5.742e-04,4.79219,4.96031
-5.740e-04,4.80469,5.08406
