Model,DPO4034
Firmware Version,2.1

Point Format,Y,
Horizontal Units,S,
Horizontal Scale,0.1,
Sample Interval,1e-05,
Record Length,100000,
Probe Attenuation,10,10
Vertical Units,V,V
Vertical Offset,0,0
Vertical Scale,2,2
Label,,
TIME,CH1,CH2
-4.9380e-02,4.82906,5.03219
-4.9370e-02,4.82969,5.03844
-4.9360e-02,4.83094,5.03688
-4.9350e-02,4.8325,5.03875
-4.9340e-02,4.83312,5.035
-4.9330e-02,4.83094,5.03625
-4.9320e-02,4.8325,5.03469
-4.9310e-02,4.83,5.03469
-4.9300e-02,4.83,5.03469
-4.9290e-02,4.82906,5.03344
-4.9280e-02,4.82906,5.035
-4.9270e-02,4.83,5.03875
-4.9260e-02,4.83219,5.03625
-4.9250e-02,4.83219,5.03625
-4.9240e-02,4.83188,5.03875
-4.9230e-02,4.83094,5.03688
-4.9220e-02,4.82781,5.03625
-4.9210e-02,4.82938,5.03688
-4.9200e-02,4.83,5.03594
-4.9190e-02,4.83062,5.03563
-4.9180e-02,4.8325,5.03406
-4.9170e-02,4.83375,5.0375
-4.9160e-02,4.835,5.03594
-4.9150e-02,4.83344,5.035
-4.9140e-02,4.83062,5.03563
-4.9130e-02,4.83344,5.03813
-4.9120e-02,4.83125,5.03813
-4.9110e-02,4.8325,5.0375
-4.9100e-02,4.83219,5.03813
-4.9090e-02,4.82969,5.0375
-4.9080e-02,4.8325,5.03563
-4.9070e-02,4.82938,5.03969
-4.9060e-02,4.82719,5.03719
-4.9050e-02,4.83125,5.03594
-4.9040e-02,4.83219,5.03406
-4.9030e-02,4.83094,5.03813
-4.9020e-02,4.83062,5.04031
-4.9010e-02,4.835,5.03563
-4.9000e-02,4.83469,5.03625
-4.8990e-02,4.8325,5.0375
-4.8980e-02,4.8325,5.03469
-4.8970e-02,4.83219,5.03469
-4.8960e-02,4.83406,5.03438
-4.8950e-02,4.83219,5.03438
-4.8940e-02,4.8325,5.03594
-4.8930e-02,4.83219,5.03281
-4.8920e-02,4.83219,5.03438
-4.8910e-02,4.83219,5.03281
-4.8900e-02,4.83219,5.03281
-4.8890e-02,4.83094,5.03594
-4.8880e-02,4.8325,5.03594
-4.8870e-02,4.8325,5.03625
-4.8860e-02,4.83375,5.03438
-4.8850e-02,4.83375,5.03688
-4.8840e-02,4.83125,5.0375
-4.8830e-02,4.83062,5.03594
-4.8820e-02,4.8325,5.03563
-4.8810e-02,4.83219,5.03719
-4.8800e-02,4.83188,5.03688
-4.8790e-02,4.83219,5.03219
-4.8780e-02,4.82938,5.03469
-4.8770e-02,4.82938,5.03469
-4.8760e-02,4.83125,5.03344
-4.8750e-02,4.83469,5.035
-4.8740e-02,4.83312,5.04031
-4.8730e-02,4.83219,5.035
-4.8720e-02,4.83125,5.03563
-4.8710e-02,4.83062,5.03688
-4.8700e-02,4.83094,5.03688
-4.8690e-02,4.83125,5.03625
-4.8680e-02,4.83094,5.03438
-4.8670e-02,4.83,5.03719
-4.8660e-02,4.83312,5.03688
-4.8650e-02,4.83062,5.03594
-4.8640e-02,4.83312,5.03625
-4.8630e-02,4.8325,5.03438
-4.8620e-02,4.83312,5.03406
-4.8610e-02,4.83188,5.03563
-4.8600e-02,4.83219,5.03438
-4.8590e-02,4.83219,5.03625
-4.8580e-02,4.8325,5.03594
-4.8570e-02,4.83625,5.03844
-4.8560e-02,4.83375,5.03625
-4.8550e-02,4.8325,5.03719
-4.8540e-02,4.83531,5.03813
-4.8530e-02,4.83094,5.03813
-4.8520e-02,4.82969,5.03219
-4.8510e-02,4.83312,5.03719
-4.8500e-02,4.8325,5.03813
-4.8490e-02,4.83125,5.03688
-4.8480e-02,4.83406,5.03438
-4.8470e-02,4.83469,5.03813
-4.8460e-02,4.83531,5.03969
-4.8450e-02,4.83406,5.03594
-4.8440e-02,4.83594,5.03594
-4.8430e-02,4.83594,5.03625
-4.8420e-02,4.8325,5.0375
-4.8410e-02,4.83125,5.03813
-4.8400e-02,4.83312,5.03906
-4.8390e-02,4.8325,5.0375
-4.8380e-02,4.83469,5.03844
-4.8370e-02,4.82969,5.03625
-4.8360e-02,4.83062,5.03188
-4.8350e-02,4.83062,5.03625
-4.8340e-02,4.83531,5.0375
-4.8330e-02,4.83469,5.03313
-4.8320e-02,4.83531,5.03625
-4.8310e-02,4.835,5.03563
-4.8300e-02,4.83375,5.03813
-4.8290e-02,4.83406,5.03313
-4.8280e-02,4.83344,5.03563
-4.8270e-02,4.83,5.03344
-4.8260e-02,4.83188,5.03406
-4.8250e-02,4.83344,5.03688
-4.8240e-02,4.83375,5.03625
-4.8230e-02,4.83219,5.03313
-4.8220e-02,4.8325,5.03313
-4.8210e-02,4.83344,5.035
-4.8200e-02,4.83125,5.03813
-4.8190e-02,4.83344,5.035
-4.8180e-02,4.8325,5.03406
-4.8170e-02,4.82938,5.03688
-4.8160e-02,4.83375,5.03719
-4.8150e-02,4.83469,5.035
-4.8140e-02,4.83125,5.035
-4.8130e-02,4.83219,5.03594
-4.8120e-02,4.83406,5.0375
-4.8110e-02,4.83469,5.03844
-4.8100e-02,4.83406,5.03969
-4.8090e-02,4.83125,5.03719
-4.8080e-02,4.83188,5.03688
-4.8070e-02,4.82938,5.0375
-4.8060e-02,4.83062,5.035
-4.8050e-02,4.82938,5.03906
-4.8040e-02,4.83062,5.04125
