Model,DPO4034
Firmware Version,2.1

Point Format,Y,
Horizontal Units,S,
Horizontal Scale,0.0002,
Sample Interval,2e-07,
Record Length,10000,
Probe Attenuation,10,10
Vertical Units,V,V
Vertical Offset,0,0
Vertical Scale,2,2
Label,,
TIME,CH1,CH2
-6.218e-04,4.81937,5.00094
-6.216e-04,4.82219,5.01156
-6.214e-04,4.81562,5.00313
-6.212e-04,4.82437,5.01031
-6.210e-04,4.81906,5.01969
-6.208e-04,4.81656,4.99281
-6.206e-04,4.81625,5.00406
-6.204e-04,4.80938,5.00344
-6.202e-04,4.80656,4.99906
-6.200e-04,4.81344,5.00344
-6.198e-04,4.81656,4.99812
-6.196e-04,4.82156,5.00219
-6.194e-04,4.81562,5.01781
-6.192e-04,4.82156,5.00156
-6.190e-04,4.80781,4.99906
-6.188e-04,4.81625,5.00344
-6.186e-04,4.83094,5.00688
-6.184e-04,4.80594,5.01
-6.182e-04,4.8125,4.99812
-6.180e-04,4.82094,5.00063
-6.178e-04,4.80844,4.99375
-6.176e-04,4.79969,5.00375
-6.174e-04,4.81344,5.00438
-6.172e-04,4.80906,5.00875
-6.170e-04,4.80875,5.01313
-6.168e-04,4.81531,5.00906
-6.166e-04,4.8125,5.00875
-6.164e-04,4.80844,5.005
-6.162e-04,4.80938,5.005
-6.160e-04,4.81594,4.99719
-6.158e-04,4.81219,5.00031
-6.156e-04,4.80438,5.0075
-6.154e-04,4.815,5.01219
-6.152e-04,4.81,4.99437
-6.150e-04,4.82156,5.00313
-6.148e-04,4.81,5.00125
-6.146e-04,4.81031,4.99875
-6.144e-04,4.80687,5.005
-6.142e-04,4.81781,5.01063
-6.140e-04,4.81188,4.9925
-6.138e-04,4.82094,5.00531
-6.136e-04,4.82437,5.00406
-6.134e-04,4.81687,5.02688
-6.132e-04,4.81906,5.00188
-6.130e-04,4.81312,4.98531
-6.128e-04,4.81844,5.01063
-6.126e-04,4.82344,4.98344
-6.124e-04,4.81844,5.00125
-6.122e-04,4.81062,5.00188
-6.120e-04,4.81875,5.00719
-6.118e-04,4.80969,4.99781
-6.116e-04,4.83094,4.99656
-6.114e-04,4.81531,4.99719
-6.112e-04,4.8075,5.0025
-6.110e-04,4.82062,4.99969
-6.108e-04,4.81438,5.01125
-6.106e-04,4.81875,5.01031
-6.104e-04,4.81781,5.005
-6.102e-04,4.81344,5.00156
-6.100e-04,4.81188,5.00594
-6.098e-04,4.8075,5.01063
-6.096e-04,4.80813,5.0075
-6.094e-04,4.81,5.00063
-6.092e-04,4.81562,4.99656
-6.090e-04,4.80719,4.99625
-6.088e-04,4.80781,4.99437
-6.086e-04,4.80687,4.99812
-6.084e-04,4.81594,4.995
-6.082e-04,4.81906,4.99812
-6.080e-04,4.83062,5.00313
-6.078e-04,4.82219,5.00781
-6.076e-04,4.81719,5.00656
-6.074e-04,4.81406,5.00156
-6.072e-04,4.81531,5.00438
-6.070e-04,4.81594,5.00438
-6.068e-04,4.82219,5.01781
-6.066e-04,4.82062,4.98656
-6.064e-04,4.80687,5.01063
-6.062e-04,4.82563,5.00281
-6.060e-04,4.81562,5.00375
-6.058e-04,4.81875,5.01844
-6.056e-04,4.81562,5.01656
-6.054e-04,4.82625,5.00469
