Model,DPO4034
Firmware Version,2.1

Point Format,Y,
Horizontal Units,S,
Horizontal Scale,0.0002,
Sample Interval,2e-07,
Record Length,10000,
Probe Attenuation,10,10
Vertical Units,V,V
Vertical Offset,0,0
Vertical Scale,2,2
Label,,
TIME,CH1,CH2
-6.218e-04,4.69406,4.86406
-6.216e-04,4.68969,4.86063
-6.214e-04,4.69594,4.86781
-6.212e-04,4.69562,4.86344
-6.210e-04,4.70438,4.85375
-6.208e-04,4.70125,4.86125
-6.206e-04,4.69062,4.9575
-6.204e-04,4.7175,4.75531
-6.202e-04,4.68906,4.88125
-6.200e-04,4.68969,4.86125
-6.198e-04,4.69406,4.8525
-6.196e-04,4.69219,4.87094
-6.194e-04,4.69062,4.87625
-6.192e-04,4.69125,4.85844
-6.190e-04,4.69469,4.86781
-6.188e-04,4.69813,4.86625
-6.186e-04,4.70125,4.87594
-6.184e-04,4.69875,4.86813
-6.182e-04,4.69688,4.86281
-6.180e-04,4.70312,4.87
-6.178e-04,4.70406,4.86937
-6.176e-04,4.69688,4.86656
-6.174e-04,4.69719,4.87031
-6.172e-04,4.69969,4.86125
-6.170e-04,4.69688,4.86156
-6.168e-04,4.69781,4.86156
-6.166e-04,4.69688,4.85719
-6.164e-04,4.7075,4.85156
-6.162e-04,4.70094,4.86719
-6.160e-04,4.69313,4.87188
-6.158e-04,4.69469,4.86156
-6.156e-04,4.70312,4.86125
-6.154e-04,4.69437,4.86688
-6.152e-04,4.69469,4.86719
-6.150e-04,4.68344,4.87125
-6.148e-04,4.68719,4.86313
-6.146e-04,4.70562,4.86719
-6.144e-04,4.68875,4.86219
-6.142e-04,4.69156,4.86094
-6.140e-04,4.69219,4.83281
-6.138e-04,4.69437,4.88938
-6.136e-04,4.6975,4.87094
-6.134e-04,4.69281,4.85906
-6.132e-04,4.70812,4.87188
-6.130e-04,4.70281,4.86594
-6.128e-04,4.70219,4.86594
-6.126e-04,4.69469,4.87188
-6.124e-04,4.68844,4.85875
-6.122e-04,4.69656,4.86031
-6.120e-04,4.685,4.86406
-6.118e-04,4.69906,4.86719
-6.116e-04,4.71,4.8575
-6.114e-04,4.69625,4.85688
-6.112e-04,4.685,4.86438
-6.110e-04,4.72125,4.91719
-6.108e-04,4.69813,4.81
-6.106e-04,4.69094,4.87688
-6.104e-04,4.70531,4.87438
-6.102e-04,4.71625,4.86125
-6.100e-04,4.70125,4.87844
-6.098e-04,4.70406,4.86438
-6.096e-04,4.69875,4.86656
-6.094e-04,4.70375,4.86906
-6.092e-04,4.70625,4.87063
-6.090e-04,4.70875,4.85656
-6.088e-04,4.69813,4.86906
-6.086e-04,4.71281,4.86219
-6.084e-04,4.71906,4.86469
-6.082e-04,4.70812,4.87656
-6.080e-04,4.70406,4.86844
-6.078e-04,4.71,4.86313
-6.076e-04,4.70063,4.86281
-6.074e-04,4.70187,4.86906
-6.072e-04,4.68281,4.86937
-6.070e-04,4.70312,4.86344
-6.068e-04,4.7075,4.86375
-6.066e-04,4.7025,4.86906
-6.064e-04,4.7075,4.865
-6.062e-04,4.70187,4.86375
-6.060e-04,4.70688,4.86531
-6.058e-04,4.70469,4.86313
-6.056e-04,4.70594,4.8575
-6.054e-04,4.70969,4.8675
-6.052e-04,4.69781,4.85875
-6.050e-04,4.7,4.85625
-6.048e-04,4.68406,4.86
-6.046e-04,4.68875,4.81281
-6.044e-04,4.6975,4.89469
-6.042e-04,4.70438,4.88031
-6.040e-04,4.68844,4.85406
-6.038e-04,4.70844,4.86406
-6.036e-04,4.69344,4.8475
-6.034e-04,4.69937,4.86594
-6.032e-04,4.70156,4.86469
-6.030e-04,4.7075,4.86125
-6.028e-04,4.69094,4.87281
-6.026e-04,4.69469,4.86063
-6.024e-04,4.69313,4.85719
-6.022e-04,4.70125,4.85688
-6.020e-04,4.69656,4.8575
-6.018e-04,4.70031,4.86188
-6.016e-04,4.6975,4.80188
-6.014e-04,4.68156,4.95188
-6.012e-04,4.69531,4.82719
-6.010e-04,4.70875,4.87
-6.008e-04,4.69594,4.86969
-6.006e-04,4.70094,4.86313
-6.004e-04,4.70187,4.86688
-6.002e-04,4.69344,4.86094
-6.000e-04,4.69437,4.86063
-5.998e-04,4.7025,4.86438
-5.996e-04,4.69937,4.85469
-5.994e-04,4.69844,4.85438
-5.992e-04,4.705,4.86781
-5.990e-04,4.70156,4.85594
-5.988e-04,4.70781,4.85844
-5.986e-04,4.705,4.87031
-5.984e-04,4.69937,4.85375
-5.982e-04,4.69625,4.87
-5.980e-04,4.69625,4.85906
-5.978e-04,4.70656,4.8475
-5.976e-04,4.68594,4.86688
-5.974e-04,4.69625,4.87
-5.972e-04,4.685,4.85656
-5.970e-04,4.70937,4.86406
-5.968e-04,4.69562,4.86719
-5.966e-04,4.70875,4.85938
-5.964e-04,4.70781,4.87125
-5.962e-04,4.69344,4.86
-5.960e-04,4.70438,4.87063
-5.958e-04,4.69844,4.87
-5.956e-04,4.69094,4.87875
-5.954e-04,4.70125,4.86594
-5.952e-04,4.68406,4.84563
-5.950e-04,4.69,4.86406
-5.948e-04,4.68438,4.89344
-5.946e-04,4.68781,4.85469
-5.944e-04,4.69125,4.84625
-5.942e-04,4.69813,4.8625
-5.940e-04,4.69313,4.86625
-5.938e-04,4.70281,4.85719
-5.936e-04,4.70562,4.86563
-5.934e-04,4.69844,4.86563
-5.932e-04,4.71094,4.87438
-5.930e-04,4.68594,4.85031
-5.928e-04,4.68156,4.84313
-5.926e-04,4.69719,4.84906
-5.924e-04,4.7025,4.8575
-5.922e-04,4.68875,4.93187
-5.920e-04,4.70406,4.78563
-5.918e-04,4.68656,4.85375
-5.916e-04,4.69875,4.86406
-5.914e-04,4.69,4.84625
-5.912e-04,4.69656,4.8675
-5.910e-04,4.70406,4.85719
-5.908e-04,4.69531,4.84906
-5.906e-04,4.69469,4.86156
-5.904e-04,4.6975,4.85656
-5.902e-04,4.68594,4.85094
-5.900e-04,4.685,4.86375
-5.898e-04,4.67781,4.8575
-5.896e-04,4.69219,4.85313
-5.894e-04,4.68906,4.84469
-5.892e-04,4.69125,4.85656
-5.890e-04,4.68531,4.8675
-5.888e-04,4.68594,4.85313
-5.886e-04,4.70094,4.85875
-5.884e-04,4.69625,4.86188
-5.882e-04,4.69594,4.85719
-5.880e-04,4.69062,4.86969
-5.878e-04,4.70094,4.85813
-5.876e-04,4.69656,4.87094
-5.874e-04,4.67938,4.86313
-5.872e-04,4.68812,4.86281
-5.870e-04,4.7025,4.87406
-5.868e-04,4.70469,4.87375
-5.866e-04,4.69688,4.87156
-5.864e-04,4.69281,4.87563
-5.862e-04,4.69937,4.86469
-5.860e-04,4.69813,4.86188
